Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
6	My Super Ex-Girlfriend	2006-07-21	20th Century Fox	PG-13	$22,530,295	3,439,739	Romantic-Comedy
7	Just My Luck	2006-05-12	20th Century Fox	PG-13	$17,326,650	2,645,290	Romantic-Comedy
8	The Last Kiss	2006-09-15	Paramount Pictures	R	$11,614,790	1,773,250	Romantic-Comedy
9	Scoop	2006-07-28	Focus/Rogue Pictures	PG-13	$10,525,717	1,606,979	Romantic-Comedy
10	Phat Girlz	2006-04-07	Fox Searchlight	PG-13	$7,061,128	1,078,034	Romantic-Comedy
11	Boynton Beach Club	2006-03-24	Wingate Distribution	R	$3,127,472	477,476	Romantic-Comedy
12	Just Friends	2005-11-23	New Line	PG-13	$1,102,979	168,393	Romantic-Comedy
13	Imagine Me & You	2006-01-27	Fox Searchlight	R	$672,243	102,632	Romantic-Comedy
14	The Oh in Ohio	2006-07-14	Cyan	R	$418,689	63,921	Romantic-Comedy
15	Adam & Steve	2006-03-31	TLA Releasing	R	$309,404	47,237	Romantic-Comedy
16	Seres Queridos	2006-06-16	Magnolia Pictures	R	$284,961	43,505	Romantic-Comedy
17	Confetti	2006-09-15	Fox Searchlight	R	$228,498	34,885	Romantic-Comedy
18	Pyar Ke Side Effects	2006-09-15	Eros Entertainment	Not Rated	$30,230	4,615	Romantic-Comedy
19	Quand la mer monte...	2006-01-13	New Yorker	Not Rated	$24,038	3,669	Romantic-Comedy
20	April's Shower	2006-01-13	Regent Releasing	R	$16,255	2,481	Romantic-Comedy
21	Sleeping Dogs Lie	2006-10-20	IDP/Goldwyn/Roadside	R	$15,745	2,403	Romantic-Comedy
22	My First Wedding	2006-08-18	Indican Pictures	PG-13	$14,982	2,287	Romantic-Comedy
23	Zerophilia	2006-10-13	Microangelo Enter…	Not Rated	$7,763	1,185	Romantic-Comedy
1	Knocked Up	2007-06-01	Universal	R	$148,761,765	21,622,349	Romantic-Comedy
2	Enchanted	2007-11-21	Walt Disney	PG	$119,820,940	17,415,834	Romantic-Comedy
3	Music and Lyrics	2007-02-14	Warner Bros.	PG-13	$50,572,589	7,350,667	Romantic-Comedy
4	Dan in Real Life	2007-10-26	Walt Disney	PG-13	$47,130,416	6,850,351	Romantic-Comedy
5	License to Wed	2007-07-03	Warner Bros.	PG	$43,799,818	6,366,252	Romantic-Comedy
6	No Reservations	2007-07-27	Warner Bros.	PG	$43,107,979	6,265,694	Romantic-Comedy
7	Because I Said So	2007-02-02	Universal	PG-13	$42,674,040	6,202,622	Romantic-Comedy
8	The Heartbreak Kid	2007-10-05	Paramount Pictures	R	$36,787,257	5,346,985	Romantic-Comedy
9	Good Luck Chuck	2007-09-21	Lionsgate	R	$35,017,297	5,089,723	Romantic-Comedy
10	Daddy's Little Girls	2007-02-14	Lionsgate	PG-13	$31,366,978	4,559,153	Romantic-Comedy
11	P.S. I Love You	2007-12-21	Warner Bros.	PG-13	$27,901,562	4,055,460	Romantic-Comedy
12	Waitress	2007-05-02	Fox Searchlight	PG-13	$19,097,550	2,775,806	Romantic-Comedy
13	Catch and Release	2007-01-26	Sony Pictures	PG-13	$15,432,542	2,243,102	Romantic-Comedy
14	The Holiday	2006-12-08	Sony Pictures	PG-13	$13,195,764	1,917,988	Romantic-Comedy
15	I Think I Love My Wife	2007-03-16	Fox Searchlight	R	$12,559,771	1,825,548	Romantic-Comedy
16	The Perfect Holiday	2007-12-12	Yari Film Group R…	PG	$5,705,588	829,300	Romantic-Comedy
17	The Ex	2007-05-11	MGM	PG-13	$3,091,922	449,407	Romantic-Comedy
18	Salaam-e-Ishq (A Tribute to…	2007-01-25	Eros Entertainment	Not Rated	$1,852,050	269,193	Romantic-Comedy
19	Namastey London	2007-03-23	Eros Entertainment	Not Rated	$1,207,007	175,437	Romantic-Comedy
20	Partner	2007-07-20	Eros Entertainment	Not Rated	$1,062,840	154,482	Romantic-Comedy
21	Broken English	2007-06-22	Magnolia Pictures	PG-13	$956,919	139,087	Romantic-Comedy
22	Cheeni Kum	2007-05-25	Eros Entertainment	Not Rated	$678,792	98,661	Romantic-Comedy
23	Angel-A	2007-05-25	Sony Pictures Cla…	R	$202,200	29,389	Romantic-Comedy
24	Americanizing Shelley	2007-04-26	Rocky Mountain Pi…	PG	$128,024	18,608	Romantic-Comedy
25	David & Layla	2007-07-20	Newroz Films	R	$105,323	15,308	Romantic-Comedy
26	Dedication	2007-08-24	Weinstein/Dimension	R	$91,164	13,250	Romantic-Comedy
27	Puccini for Beginners	2007-02-02	Strand	Not Rated	$89,417	12,996	Romantic-Comedy
28	Blind Dating	2007-05-11	Samuel Goldwyn Films	PG-13	$87,416	12,705	Romantic-Comedy
29	The Treatment	2007-05-04	New Yorker	Not Rated	$82,701	12,020	Romantic-Comedy
